commodity,year,type,msprice,msp_filter
paddyunhusked,2012,kharifcrops,1250.0,1
ricepaddyhus,2012,kharifcrops,1280.0,1
jowarhybrid,2012,kharifcrops,1500.0,1
sorgumjawar,2012,kharifcrops,1520.0,1
bajri,2012,kharifcrops,1175.0,1
maize,2012,kharifcrops,1175.0,1
ragimaldandi,2012,kharifcrops,1500.0,1
pigeonpeatur,2012,kharifcrops,3850.0,1
spiltgerrngram,2012,kharifcrops,4400.0,1
splitblackgram,2012,kharifcrops,4300.0,1
cotton,2012,kharifcrops,3600.0,1
cottonlongstaple,2012,kharifcrops,3900.0,1
grnutkernels,2012,kharifcrops,3700.0,1
sunflower,2012,kharifcrops,3700.0,1
soyabeanblack,2012,kharifcrops,2200.0,1
soyabean,2012,kharifcrops,2240.0,1
sesamum,2012,kharifcrops,4200.0,1
nigerseed,2012,kharifcrops,3500.0,1
wheathusked,2012,rabicrops,1350.0,1
wheatunhusked,2012,rabicrops,1350.0,1
barli,2012,rabicrops,980.0,1
gramyellow,2012,rabicrops,3000.0,1
masuryellow,2012,rabicrops,2900.0,1
mustard,2012,rabicrops,3000.0,1
safflower,2012,rabicrops,2800.0,1
toriayellow,2012,rabicrops,2970.0,1
copramillingyellow,2012,othercrops,5100.0,1
copraballyellow,2012,othercrops,5350.0,1
coconut,2012,othercrops,1400.0,1
juteyellow,2012,othercrops,2200.0,1
sugarcane,2012,othercrops,170.0,1
paddyunhusked,2013,kharifcrops,1310.0,1
ricepaddyhus,2013,kharifcrops,1345.0,1
jowarhybrid,2013,kharifcrops,1500.0,1
sorgumjawar,2013,kharifcrops,1520.0,1
bajri,2013,kharifcrops,1310.0,1
maize,2013,kharifcrops,1310.0,1
ragimaldandi,2013,kharifcrops,1500.0,1
pigeonpeatur,2013,kharifcrops,4300.0,1
spiltgerrngram,2013,kharifcrops,4500.0,1
splitblackgram,2013,kharifcrops,4300.0,1
cotton,2013,kharifcrops,3700.0,1
cottonlongstaple,2013,kharifcrops,4000.0,1
grnutkernels,2013,kharifcrops,4000.0,1
sunflower,2013,kharifcrops,3700.0,1
soyabeanblack,2013,kharifcrops,2500.0,1
soyabean,2013,kharifcrops,2560.0,1
sesamum,2013,kharifcrops,4500.0,1
nigerseed,2013,kharifcrops,3500.0,1
wheathusked,2013,rabicrops,1400.0,1
wheatunhusked,2013,rabicrops,1400.0,1
barli,2013,rabicrops,1100.0,1
gramyellow,2013,rabicrops,3100.0,1
masuryellow,2013,rabicrops,2950.0,1
mustard,2013,rabicrops,3050.0,1
safflower,2013,rabicrops,3000.0,1
toriayellow,2013,rabicrops,3020.0,1
copramillingyellow,2013,othercrops,5250.0,1
copraballyellow,2013,othercrops,5500.0,1
coconut,2013,othercrops,1425.0,1
juteyellow,2013,othercrops,2300.0,1
sugarcane,2013,othercrops,210.0,1
paddyunhusked,2014,kharifcrops,1360.0,1
ricepaddyhus,2014,kharifcrops,1400.0,1
jowarhybrid,2014,kharifcrops,1530.0,1
sorgumjawar,2014,kharifcrops,1550.0,1
bajri,2014,kharifcrops,1250.0,1
maize,2014,kharifcrops,1310.0,1
ragimaldandi,2014,kharifcrops,1550.0,1
pigeonpeatur,2014,kharifcrops,4350.0,1
spiltgerrngram,2014,kharifcrops,4600.0,1
splitblackgram,2014,kharifcrops,4350.0,1
cotton,2014,kharifcrops,3750.0,1
cottonlongstaple,2014,kharifcrops,4050.0,1
grnutkernels,2014,kharifcrops,4000.0,1
sunflower,2014,kharifcrops,3750.0,1
soyabeanblack,2014,kharifcrops,2500.0,1
soyabean,2014,kharifcrops,2560.0,1
sesamum,2014,kharifcrops,4600.0,1
nigerseed,2014,kharifcrops,3600.0,1
wheathusked,2014,rabicrops,1450.0,1
wheatunhusked,2014,rabicrops,1450.0,1
barli,2014,rabicrops,1150.0,1
gramyellow,2014,rabicrops,3175.0,1
masuryellow,2014,rabicrops,3075.0,1
mustard,2014,rabicrops,3100.0,1
safflower,2014,rabicrops,3050.0,1
toriayellow,2014,rabicrops,3020.0,1
copramillingyellow,2014,othercrops,5250.0,1
copraballyellow,2014,othercrops,5500.0,1
coconut,2014,othercrops,1425.0,1
juteyellow,2014,othercrops,2400.0,1
sugarcane,2014,othercrops,220.0,1
paddyunhusked,2015,kharifcrops,1410.0,1
ricepaddyhus,2015,kharifcrops,1450.0,1
jowarhybrid,2015,kharifcrops,1570.0,1
sorgumjawar,2015,kharifcrops,1590.0,1
bajri,2015,kharifcrops,1275.0,1
maize,2015,kharifcrops,1325.0,1
ragimaldandi,2015,kharifcrops,1650.0,1
pigeonpeatur,2015,kharifcrops,4425.0,1
spiltgerrngram,2015,kharifcrops,4650.0,1
splitblackgram,2015,kharifcrops,4425.0,1
cotton,2015,kharifcrops,3800.0,1
cottonlongstaple,2015,kharifcrops,4100.0,1
grnutkernels,2015,kharifcrops,4030.0,1
sunflower,2015,kharifcrops,3800.0,1
soyabean,2015,kharifcrops,2600.0,1
sesamum,2015,kharifcrops,4700.0,1
nigerseed,2015,kharifcrops,3650.0,1
wheathusked,2015,rabicrops,1525.0,1
wheatunhusked,2015,rabicrops,1525.0,1
barli,2015,rabicrops,1225.0,1
gramyellow,2015,rabicrops,3425.0,1
masuryellow,2015,rabicrops,3325.0,1
mustard,2015,rabicrops,3350.0,1
safflower,2015,rabicrops,3300.0,1
toriayellow,2015,rabicrops,3290.0,1
copramillingyellow,2015,othercrops,5550.0,1
copraballyellow,2015,othercrops,5830.0,1
coconut,2015,othercrops,1500.0,1
juteyellow,2015,othercrops,2700.0,1
sugarcane,2015,othercrops,230.0,1
paddyunhusked,2016,kharifcrops,1470.0,1
ricepaddyhus,2016,kharifcrops,1510.0,1
jowarhybrid,2016,kharifcrops,1625.0,1
sorgumjawar,2016,kharifcrops,1650.0,1
bajri,2016,kharifcrops,1330.0,1
maize,2016,kharifcrops,1365.0,1
ragimaldandi,2016,kharifcrops,1725.0,1
pigeonpeatur,2016,kharifcrops,4625.0,1
spiltgerrngram,2016,kharifcrops,4800.0,1
splitblackgram,2016,kharifcrops,4575.0,1
cotton,2016,kharifcrops,3860.0,1
cottonlongstaple,2016,kharifcrops,4160.0,1
grnutkernels,2016,kharifcrops,4120.0,1
sunflower,2016,kharifcrops,3850.0,1
soyabean,2016,kharifcrops,2675.0,1
sesamum,2016,kharifcrops,4800.0,1
nigerseed,2016,kharifcrops,3725.0,1
copramillingyellow,2016,othercrops,5950.0,1
copraballyellow,2016,othercrops,6240.0,1
coconut,2016,othercrops,1600.0,1
juteyellow,2016,othercrops,3200.0,1
sugarcane,2016,othercrops,230.0,1
